vehicle_id,owner,driver,vehicle_operator,vehicle_type_id,number_plate,fuel_type,vehicle_status
1,Owner_1,Driver_1,1,4,AB-48-AB-8727,Electric,In Use
2,Owner_2,Driver_2,5,2,AB-60-AB-3005,Electric,Available
3,Owner_3,Driver_3,5,3,AB-44-AB-9910,Diesel,Under Maintenance
4,Owner_4,Driver_4,4,3,AB-96-AB-7663,Petrol,In Use
5,Owner_5,Driver_5,8,2,AB-49-AB-7490,Electric,Available
6,Owner_6,Driver_6,2,5,AB-24-AB-8614,Diesel,In Use
7,Owner_7,Driver_7,7,3,AB-18-AB-7297,Petrol,In Use
8,Owner_8,Driver_8,1,3,AB-97-AB-9646,Petrol,Under Maintenance
9,Owner_9,Driver_9,9,3,AB-38-AB-1356,Diesel,Available
10,Owner_10,Driver_10,7,4,AB-24-AB-6137,Petrol,Available
11,Owner_11,Driver_11,2,5,AB-47-AB-9024,Electric,Under Maintenance
12,Owner_12,Driver_12,3,4,AB-55-AB-5027,Diesel,In Use
13,Owner_13,Driver_13,5,3,AB-87-AB-2882,Diesel,Available
14,Owner_14,Driver_14,6,5,AB-79-AB-4666,Petrol,In Use
15,Owner_15,Driver_15,3,4,AB-39-AB-1000,Petrol,In Use
16,Owner_16,Driver_16,5,1,AB-97-AB-3914,Petrol,Under Maintenance
17,Owner_17,Driver_17,3,1,AB-35-AB-8308,Diesel,In Use
18,Owner_18,Driver_18,10,2,AB-90-AB-3828,Petrol,In Use
19,Owner_19,Driver_19,2,2,AB-49-AB-7287,Diesel,Available
20,Owner_20,Driver_20,8,1,AB-60-AB-6213,Diesel,Under Maintenance
21,Owner_21,Driver_21,5,4,AB-86-AB-3509,Electric,Under Maintenance
22,Owner_22,Driver_22,1,1,AB-21-AB-8542,Electric,Under Maintenance
23,Owner_23,Driver_23,6,3,AB-62-AB-7633,Petrol,Available
24,Owner_24,Driver_24,4,1,AB-78-AB-7612,Electric,In Use
25,Owner_25,Driver_25,1,1,AB-87-AB-9694,Diesel,Available
26,Owner_26,Driver_26,5,5,AB-44-AB-8249,Diesel,Under Maintenance
27,Owner_27,Driver_27,9,1,AB-38-AB-4269,Petrol,In Use
28,Owner_28,Driver_28,8,2,AB-72-AB-6968,Diesel,Under Maintenance
29,Owner_29,Driver_29,2,2,AB-77-AB-1004,Diesel,Under Maintenance
30,Owner_30,Driver_30,4,2,AB-88-AB-9458,Diesel,Available
31,Owner_31,Driver_31,1,2,AB-49-AB-7318,Diesel,Under Maintenance
32,Owner_32,Driver_32,8,4,AB-65-AB-6443,Diesel,Available
33,Owner_33,Driver_33,3,4,AB-17-AB-2312,Diesel,Available
34,Owner_34,Driver_34,8,3,AB-71-AB-2794,Petrol,Available
35,Owner_35,Driver_35,8,1,AB-30-AB-2758,Electric,Under Maintenance
36,Owner_36,Driver_36,8,3,AB-59-AB-3235,Electric,Available
37,Owner_37,Driver_37,9,3,AB-36-AB-7989,Electric,Available
38,Owner_38,Driver_38,7,5,AB-63-AB-4972,Diesel,Available
39,Owner_39,Driver_39,10,1,AB-13-AB-3097,Diesel,In Use
40,Owner_40,Driver_40,9,1,AB-48-AB-7878,Petrol,In Use
41,Owner_41,Driver_41,3,1,AB-41-AB-5251,Petrol,Under Maintenance
42,Owner_42,Driver_42,9,2,AB-33-AB-8736,Petrol,Under Maintenance
43,Owner_43,Driver_43,9,4,AB-26-AB-2663,Petrol,Available
44,Owner_44,Driver_44,7,1,AB-30-AB-5713,Diesel,Available
45,Owner_45,Driver_45,8,1,AB-80-AB-4391,Petrol,Available
46,Owner_46,Driver_46,10,5,AB-71-AB-2690,Electric,Under Maintenance
47,Owner_47,Driver_47,9,4,AB-69-AB-3153,Diesel,In Use
48,Owner_48,Driver_48,1,2,AB-26-AB-4783,Petrol,Under Maintenance
49,Owner_49,Driver_49,1,2,AB-80-AB-7008,Diesel,Available
50,Owner_50,Driver_50,1,3,AB-86-AB-7085,Diesel,In Use
51,Owner_51,Driver_51,1,2,AB-41-AB-9198,Electric,In Use
52,Owner_52,Driver_52,9,1,AB-60-AB-7972,Petrol,In Use
53,Owner_53,Driver_53,2,5,AB-76-AB-8359,Diesel,In Use
54,Owner_54,Driver_54,5,4,AB-75-AB-3061,Diesel,Under Maintenance
55,Owner_55,Driver_55,5,1,AB-79-AB-4230,Electric,Under Maintenance
56,Owner_56,Driver_56,7,1,AB-80-AB-4896,Petrol,Available
57,Owner_57,Driver_57,6,2,AB-99-AB-5695,Petrol,In Use
58,Owner_58,Driver_58,3,4,AB-82-AB-7671,Electric,Under Maintenance
59,Owner_59,Driver_59,10,2,AB-27-AB-3042,Electric,Under Maintenance
60,Owner_60,Driver_60,8,1,AB-86-AB-8241,Petrol,Under Maintenance
61,Owner_61,Driver_61,5,2,AB-22-AB-6208,Petrol,Under Maintenance
62,Owner_62,Driver_62,5,5,AB-57-AB-8399,Electric,Available
63,Owner_63,Driver_63,5,3,AB-66-AB-7267,Petrol,In Use
64,Owner_64,Driver_64,4,2,AB-21-AB-8236,Electric,In Use
65,Owner_65,Driver_65,4,2,AB-22-AB-1226,Diesel,Available
66,Owner_66,Driver_66,6,3,AB-89-AB-2502,Petrol,Available
67,Owner_67,Driver_67,5,4,AB-52-AB-5829,Electric,Available
68,Owner_68,Driver_68,9,5,AB-79-AB-8191,Electric,Available
69,Owner_69,Driver_69,2,5,AB-55-AB-6984,Diesel,Available
70,Owner_70,Driver_70,1,5,AB-85-AB-2044,Diesel,In Use
71,Owner_71,Driver_71,8,3,AB-83-AB-2830,Electric,Under Maintenance
72,Owner_72,Driver_72,1,3,AB-99-AB-6149,Diesel,In Use
73,Owner_73,Driver_73,6,4,AB-61-AB-1663,Petrol,Under Maintenance
74,Owner_74,Driver_74,10,1,AB-97-AB-1549,Electric,In Use
75,Owner_75,Driver_75,4,3,AB-16-AB-6209,Diesel,Available
76,Owner_76,Driver_76,9,3,AB-59-AB-2333,Electric,In Use
77,Owner_77,Driver_77,3,3,AB-94-AB-2568,Diesel,Available
78,Owner_78,Driver_78,1,4,AB-34-AB-9462,Petrol,Available
79,Owner_79,Driver_79,4,4,AB-74-AB-4903,Petrol,In Use
80,Owner_80,Driver_80,3,1,AB-27-AB-1378,Petrol,In Use
81,Owner_81,Driver_81,2,1,AB-39-AB-5051,Diesel,Under Maintenance
82,Owner_82,Driver_82,2,1,AB-60-AB-6055,Petrol,Under Maintenance
83,Owner_83,Driver_83,10,1,AB-40-AB-1447,Diesel,Under Maintenance
84,Owner_84,Driver_84,9,5,AB-39-AB-6081,Electric,Available
85,Owner_85,Driver_85,3,1,AB-41-AB-4297,Petrol,In Use
86,Owner_86,Driver_86,8,5,AB-91-AB-8957,Petrol,Under Maintenance
87,Owner_87,Driver_87,2,3,AB-56-AB-2764,Electric,Available
88,Owner_88,Driver_88,2,3,AB-12-AB-5885,Diesel,Under Maintenance
89,Owner_89,Driver_89,9,3,AB-39-AB-7783,Petrol,Available
90,Owner_90,Driver_90,8,2,AB-44-AB-4613,Electric,Available
91,Owner_91,Driver_91,3,2,AB-57-AB-3252,Electric,In Use
