store_id,operator_id,city_id,location_latitude,location_longitude,contact_email,contact_mobile,start_time,end_time,list_of_items,inventory_capacity
1,1,19,19.8229702398065,75.28235535170019,store1@aurangabad.com,9485237093,2024-10-18 09:00:00,2024-10-18 21:00:00,[],209.41272674737914
2,1,19,19.900588808474545,75.38986824235546,store2@aurangabad.com,9090990532,2024-10-18 09:00:00,2024-10-18 21:00:00,[],122.38706145844911
3,1,19,19.726774534692158,75.32939436553663,store3@aurangabad.com,9464833775,2024-10-18 09:00:00,2024-10-18 21:00:00,[],156.35582898499007
4,1,19,19.70166406195285,75.39407511640376,store4@aurangabad.com,9198847583,2024-10-18 09:00:00,2024-10-18 21:00:00,[],248.3230873360342
5,1,19,19.877977082182344,75.25471556266733,store5@aurangabad.com,9048113701,2024-10-18 09:00:00,2024-10-18 21:00:00,[],111.49922262827539
6,1,19,19.820923481230768,75.4653360813107,store6@aurangabad.com,9792895102,2024-10-18 09:00:00,2024-10-18 21:00:00,[],445.0312211998086
7,1,19,19.89793942922833,75.38932627028463,store7@aurangabad.com,9860029408,2024-10-18 09:00:00,2024-10-18 21:00:00,[],337.7561115264199
8,1,19,19.73656809071136,75.36324216706468,store8@aurangabad.com,9752154824,2024-10-18 09:00:00,2024-10-18 21:00:00,[],244.10890023096218
9,1,19,19.91188670035271,75.34497548649396,store9@aurangabad.com,9270657549,2024-10-18 09:00:00,2024-10-18 21:00:00,[],263.7368765170624
10,1,19,19.83954417293301,75.2463143908937,store10@aurangabad.com,9716458328,2024-10-18 09:00:00,2024-10-18 21:00:00,[],449.13892518601386
11,1,13,25.443378384726998,81.86470403499209,store11@allahabad.com,9225650698,2024-10-18 09:00:00,2024-10-18 21:00:00,[],482.5811770069197
12,1,13,25.44368868381594,81.83981378217254,store12@allahabad.com,9030456936,2024-10-18 09:00:00,2024-10-18 21:00:00,[],440.02739392599636
13,1,13,25.43531908512624,81.8384704041787,store13@allahabad.com,9872602735,2024-10-18 09:00:00,2024-10-18 21:00:00,[],442.56000044053377
14,1,13,25.466540671118274,81.94397379531715,store14@allahabad.com,9353456438,2024-10-18 09:00:00,2024-10-18 21:00:00,[],450.6408497625628
15,1,13,25.435369830132558,81.8834307744623,store15@allahabad.com,9113591401,2024-10-18 09:00:00,2024-10-18 21:00:00,[],161.86348806171105
16,1,13,25.432704986798207,81.89502282578377,store16@allahabad.com,9660741179,2024-10-18 09:00:00,2024-10-18 21:00:00,[],362.67237076793253
17,1,13,25.44834361306257,81.83883980982314,store17@allahabad.com,9631083457,2024-10-18 09:00:00,2024-10-18 21:00:00,[],260.706238033052
18,1,13,25.435974243301416,81.84331051651733,store18@allahabad.com,9345631618,2024-10-18 09:00:00,2024-10-18 21:00:00,[],219.88891051147527
19,1,13,25.507729035177494,81.79820800623337,store19@allahabad.com,9283494987,2024-10-18 09:00:00,2024-10-18 21:00:00,[],499.6155873170215
20,1,13,25.548406535525103,81.79903450919738,store20@allahabad.com,9619713396,2024-10-18 09:00:00,2024-10-18 21:00:00,[],119.9856846228459
21,1,5,19.13655429024597,74.58680313699584,store21@ahmadnagar.com,9711512337,2024-10-18 09:00:00,2024-10-18 21:00:00,[],385.30345357427166
22,1,5,19.1885730384133,74.8389530279455,store22@ahmadnagar.com,9218087552,2024-10-18 09:00:00,2024-10-18 21:00:00,[],322.5527249709017
23,1,5,19.071803060781765,74.73085341214701,store23@ahmadnagar.com,9067921070,2024-10-18 09:00:00,2024-10-18 21:00:00,[],137.8376065936913
24,1,5,19.205672447784032,74.72963437638012,store24@ahmadnagar.com,9553823490,2024-10-18 09:00:00,2024-10-18 21:00:00,[],470.5727043728736
25,1,5,19.007204123315518,74.76989374812575,store25@ahmadnagar.com,9962725219,2024-10-18 09:00:00,2024-10-18 21:00:00,[],196.25362233164898
26,1,5,19.105994722777776,74.7531102977434,store26@ahmadnagar.com,9828204568,2024-10-18 09:00:00,2024-10-18 21:00:00,[],285.0385061954167
27,1,5,19.111750746095826,74.76074270375943,store27@ahmadnagar.com,9296913804,2024-10-18 09:00:00,2024-10-18 21:00:00,[],147.60299838755867
28,1,5,19.096960793642282,74.73804666564966,store28@ahmadnagar.com,9852831948,2024-10-18 09:00:00,2024-10-18 21:00:00,[],210.3688483508912
29,1,5,19.104205478170257,74.75500798410582,store29@ahmadnagar.com,9002266295,2024-10-18 09:00:00,2024-10-18 21:00:00,[],235.35325937689868
30,1,5,19.163823448268218,74.6952340323524,store30@ahmadnagar.com,9541759175,2024-10-18 09:00:00,2024-10-18 21:00:00,[],210.22087476562746
31,1,49,11.222497501155711,75.79318996042917,store31@calicut.com,9437745586,2024-10-18 09:00:00,2024-10-18 21:00:00,[],246.27151211394133
32,1,49,11.2402131943309,75.7953230287027,store32@calicut.com,9366620558,2024-10-18 09:00:00,2024-10-18 21:00:00,[],312.7547280748577
33,1,49,11.32135054493405,75.89107536967414,store33@calicut.com,9117866062,2024-10-18 09:00:00,2024-10-18 21:00:00,[],227.55697138380867
34,1,49,11.174995874750952,75.84115603705857,store34@calicut.com,9785124682,2024-10-18 09:00:00,2024-10-18 21:00:00,[],317.39374888862307
35,1,49,11.351782800845553,75.86396721245436,store35@calicut.com,9068607260,2024-10-18 09:00:00,2024-10-18 21:00:00,[],285.3777319352448
36,1,49,11.177847149997113,75.93104863425809,store36@calicut.com,9489116393,2024-10-18 09:00:00,2024-10-18 21:00:00,[],109.24744959238018
37,1,49,11.224700754145307,75.5797690121982,store37@calicut.com,9881315650,2024-10-18 09:00:00,2024-10-18 21:00:00,[],488.3975442805554
38,1,49,11.134139026810201,75.77976836959792,store38@calicut.com,9859859618,2024-10-18 09:00:00,2024-10-18 21:00:00,[],227.890687347182
39,1,49,11.114964015223299,75.8761870002098,store39@calicut.com,9646421325,2024-10-18 09:00:00,2024-10-18 21:00:00,[],412.3197603001151
40,1,49,11.211051180188422,75.80028611273755,store40@calicut.com,9079597798,2024-10-18 09:00:00,2024-10-18 21:00:00,[],356.30081967995443
41,1,28,12.900340116098487,77.47108018611036,store41@bengaluru.com,9054115596,2024-10-18 09:00:00,2024-10-18 21:00:00,[],111.3964617789513
42,1,28,12.97774763130469,77.58611677586445,store42@bengaluru.com,9843777300,2024-10-18 09:00:00,2024-10-18 21:00:00,[],251.41285121644748
43,1,28,13.099073943657919,77.46347973533241,store43@bengaluru.com,9964121126,2024-10-18 09:00:00,2024-10-18 21:00:00,[],339.1604493376394
44,1,28,13.013840980708038,77.77978165222046,store44@bengaluru.com,9502333329,2024-10-18 09:00:00,2024-10-18 21:00:00,[],492.56630279212976
45,1,28,12.857746107094975,77.41677965636332,store45@bengaluru.com,9087579623,2024-10-18 09:00:00,2024-10-18 21:00:00,[],353.0628895848798
46,1,28,13.115351252395934,77.49481935283718,store46@bengaluru.com,9088178064,2024-10-18 09:00:00,2024-10-18 21:00:00,[],496.8706149030528
47,1,28,12.951627470999897,77.6369694001404,store47@bengaluru.com,9581248873,2024-10-18 09:00:00,2024-10-18 21:00:00,[],469.4124302460128
48,1,28,12.856526808716326,77.71388560741491,store48@bengaluru.com,9624052437,2024-10-18 09:00:00,2024-10-18 21:00:00,[],180.02557962967396
49,1,28,12.988864607878886,77.64793392497526,store49@bengaluru.com,9353190164,2024-10-18 09:00:00,2024-10-18 21:00:00,[],105.94005187447002
50,1,28,12.975417379777944,77.8096968801464,store50@bengaluru.com,9837376224,2024-10-18 09:00:00,2024-10-18 21:00:00,[],147.9413782303439
51,1,33,21.808006161505777,72.03179668324596,store51@bhavnagar.com,9985954416,2024-10-18 09:00:00,2024-10-18 21:00:00,[],268.93408004309345
52,1,33,21.766567253699392,72.1767384711502,store52@bhavnagar.com,9519785492,2024-10-18 09:00:00,2024-10-18 21:00:00,[],292.67189433888433
53,1,33,21.783754362316415,72.38307042660753,store53@bhavnagar.com,9934461900,2024-10-18 09:00:00,2024-10-18 21:00:00,[],155.84822335957492
54,1,33,21.563212453214714,72.08562916239302,store54@bhavnagar.com,9920888062,2024-10-18 09:00:00,2024-10-18 21:00:00,[],103.34868473228842
55,1,33,21.825311496018458,72.15198761107169,store55@bhavnagar.com,9697916902,2024-10-18 09:00:00,2024-10-18 21:00:00,[],248.09252462047561
56,1,33,21.857221240874313,72.16273123637956,store56@bhavnagar.com,9775310478,2024-10-18 09:00:00,2024-10-18 21:00:00,[],298.28258084193783
57,1,33,21.802869890934083,72.22980087945899,store57@bhavnagar.com,9088558858,2024-10-18 09:00:00,2024-10-18 21:00:00,[],462.4269133925567
58,1,33,21.822716463747668,72.07093779294767,store58@bhavnagar.com,9277358175,2024-10-18 09:00:00,2024-10-18 21:00:00,[],202.07367297739842
59,1,33,21.727434641872076,72.10020858320023,store59@bhavnagar.com,9351458835,2024-10-18 09:00:00,2024-10-18 21:00:00,[],255.29914933951648
60,1,33,21.899970836188874,72.1484071283033,store60@bhavnagar.com,9502618566,2024-10-18 09:00:00,2024-10-18 21:00:00,[],389.53521162811813
61,1,34,21.201505769667005,81.53137318238103,store61@bhilai.com,9256220652,2024-10-18 09:00:00,2024-10-18 21:00:00,[],129.56380160871578
62,1,34,20.99027757409271,81.42788293696604,store62@bhilai.com,9874295026,2024-10-18 09:00:00,2024-10-18 21:00:00,[],183.4302556164198
63,1,34,21.03307235715698,81.55007697005401,store63@bhilai.com,9364681612,2024-10-18 09:00:00,2024-10-18 21:00:00,[],476.90633820484993
64,1,34,21.393706836067363,81.41138139107382,store64@bhilai.com,9932735663,2024-10-18 09:00:00,2024-10-18 21:00:00,[],175.35014400057523
65,1,34,21.0803646830999,81.44100792093819,store65@bhilai.com,9421173280,2024-10-18 09:00:00,2024-10-18 21:00:00,[],117.89262982773016
66,1,34,21.251798522189365,81.33774650020585,store66@bhilai.com,9116759348,2024-10-18 09:00:00,2024-10-18 21:00:00,[],190.65092923033782
67,1,34,21.289139265296424,81.33876677970426,store67@bhilai.com,9810623251,2024-10-18 09:00:00,2024-10-18 21:00:00,[],240.0871954591251
68,1,34,21.420101473177613,81.50899258893836,store68@bhilai.com,9544108491,2024-10-18 09:00:00,2024-10-18 21:00:00,[],437.0149684538601
69,1,34,21.206831549278252,81.42407720949741,store69@bhilai.com,9938028119,2024-10-18 09:00:00,2024-10-18 21:00:00,[],204.8662566652664
70,1,34,21.26227928030116,81.40813187061359,store70@bhilai.com,9628548626,2024-10-18 09:00:00,2024-10-18 21:00:00,[],227.94303215461827
71,1,35,25.23850755975387,74.67698753651065,store71@bhilwara.com,9116953845,2024-10-18 09:00:00,2024-10-18 21:00:00,[],226.75901491681398
72,1,35,25.479816804743486,74.76054931533257,store72@bhilwara.com,9276169744,2024-10-18 09:00:00,2024-10-18 21:00:00,[],492.22797322661063
73,1,35,25.309437088359402,74.6697527767852,store73@bhilwara.com,9522781318,2024-10-18 09:00:00,2024-10-18 21:00:00,[],121.323578382709
74,1,35,25.256252016722705,74.54859941220964,store74@bhilwara.com,9336001137,2024-10-18 09:00:00,2024-10-18 21:00:00,[],221.61815373245287
75,1,35,25.187473610803213,74.62696129178697,store75@bhilwara.com,9781479818,2024-10-18 09:00:00,2024-10-18 21:00:00,[],156.34799421579876
76,1,35,25.221784026739595,74.55900235087691,store76@bhilwara.com,9516940727,2024-10-18 09:00:00,2024-10-18 21:00:00,[],300.3661743140819
77,1,35,25.49915316089606,74.65790687638392,store77@bhilwara.com,9284442194,2024-10-18 09:00:00,2024-10-18 21:00:00,[],463.4523314677147
78,1,35,25.458237967795835,74.55692374162155,store78@bhilwara.com,9244403873,2024-10-18 09:00:00,2024-10-18 21:00:00,[],101.29859792177469
79,1,35,25.439037429760226,74.59881343168863,store79@bhilwara.com,9532624649,2024-10-18 09:00:00,2024-10-18 21:00:00,[],226.77381540682364
80,1,35,25.327772285399345,74.55604874312915,store80@bhilwara.com,9933327895,2024-10-18 09:00:00,2024-10-18 21:00:00,[],443.16383259553356
81,1,1,30.148559567847183,74.19581969868776,store81@abohar.com,9868455300,2024-10-18 09:00:00,2024-10-18 21:00:00,[],452.5498869806539
82,1,1,30.27210970361429,74.22532043677133,store82@abohar.com,9289372941,2024-10-18 09:00:00,2024-10-18 21:00:00,[],276.56827413107624
83,1,1,30.04590540182686,74.19424307059784,store83@abohar.com,9522316364,2024-10-18 09:00:00,2024-10-18 21:00:00,[],342.85618240756634
84,1,1,30.07825847894254,74.10628335418653,store84@abohar.com,9806041716,2024-10-18 09:00:00,2024-10-18 21:00:00,[],264.2790360901817
85,1,1,30.222537302455603,74.24556618480013,store85@abohar.com,9500258999,2024-10-18 09:00:00,2024-10-18 21:00:00,[],226.1093317151411
86,1,1,30.205093507030366,74.11039790647246,store86@abohar.com,9899494744,2024-10-18 09:00:00,2024-10-18 21:00:00,[],311.56231846915966
87,1,1,30.082724451731924,74.11371618550329,store87@abohar.com,9781324613,2024-10-18 09:00:00,2024-10-18 21:00:00,[],397.5544001344535
88,1,1,30.069214434172505,74.20861297459584,store88@abohar.com,9183118999,2024-10-18 09:00:00,2024-10-18 21:00:00,[],125.67834860156495
89,1,1,30.110174881423173,74.31546809580584,store89@abohar.com,9695856965,2024-10-18 09:00:00,2024-10-18 21:00:00,[],205.95709814628455
90,1,1,30.16214796892571,74.25867018802737,store90@abohar.com,9488089595,2024-10-18 09:00:00,2024-10-18 21:00:00,[],217.70811902359725
91,1,9,20.59128733332985,76.98024033996641,store91@akola.com,9390186865,2024-10-18 09:00:00,2024-10-18 21:00:00,[],413.7694700863208
92,1,9,20.74209028095303,76.94473949020825,store92@akola.com,9977145741,2024-10-18 09:00:00,2024-10-18 21:00:00,[],269.23557293320266
93,1,9,20.560622172358148,77.00684565478272,store93@akola.com,9862538689,2024-10-18 09:00:00,2024-10-18 21:00:00,[],470.5668865606795
94,1,9,20.716109925670967,76.8636780698418,store94@akola.com,9167178132,2024-10-18 09:00:00,2024-10-18 21:00:00,[],125.57241061863178
95,1,9,20.77134264614335,76.949778388784,store95@akola.com,9971452579,2024-10-18 09:00:00,2024-10-18 21:00:00,[],344.1956330044091
96,1,9,20.672236460242672,76.99136141098899,store96@akola.com,9834211080,2024-10-18 09:00:00,2024-10-18 21:00:00,[],363.5515096871884
97,1,9,20.78058538002838,76.9652234685309,store97@akola.com,9231335908,2024-10-18 09:00:00,2024-10-18 21:00:00,[],181.96756793272056
98,1,9,20.717680663252143,77.00536434472302,store98@akola.com,9757882057,2024-10-18 09:00:00,2024-10-18 21:00:00,[],143.48652244660528
99,1,9,20.72766540661725,77.16769808710403,store99@akola.com,9960961902,2024-10-18 09:00:00,2024-10-18 21:00:00,[],403.30615905926163
100,1,9,20.782223057836397,76.979573643829,store100@akola.com,9431178743,2024-10-18 09:00:00,2024-10-18 21:00:00,[],249.87658623701202
101,2,13,25.389887718801358,81.88478285877093,store101@allahabad.com,9406431098,2024-10-18 09:00:00,2024-10-18 21:00:00,[],237.55512094495853
102,2,13,25.581591041406067,81.85509886311813,store102@allahabad.com,9528598195,2024-10-18 09:00:00,2024-10-18 21:00:00,[],383.40888251255996
103,2,13,25.41593617665565,81.94635733578255,store103@allahabad.com,9845642557,2024-10-18 09:00:00,2024-10-18 21:00:00,[],438.9051896767357
104,2,13,25.434585135615833,81.79220967994142,store104@allahabad.com,9519086588,2024-10-18 09:00:00,2024-10-18 21:00:00,[],191.2390927091435
105,2,13,25.388454282536546,81.75460491488786,store105@allahabad.com,9380452826,2024-10-18 09:00:00,2024-10-18 21:00:00,[],342.41286094502215
106,2,13,25.44595692882821,81.90296512071723,store106@allahabad.com,9777802480,2024-10-18 09:00:00,2024-10-18 21:00:00,[],266.6309562333708
107,2,13,25.444566975236143,81.87696324840537,store107@allahabad.com,9145139012,2024-10-18 09:00:00,2024-10-18 21:00:00,[],182.18720434252918
108,2,13,25.437665324469148,81.87191780946392,store108@allahabad.com,9428831166,2024-10-18 09:00:00,2024-10-18 21:00:00,[],411.1434823946232
109,2,13,25.52444922155837,81.7681458607829,store109@allahabad.com,9108817733,2024-10-18 09:00:00,2024-10-18 21:00:00,[],373.88027910201436
110,2,13,25.412694958674756,81.74521289119558,store110@allahabad.com,9062549487,2024-10-18 09:00:00,2024-10-18 21:00:00,[],194.03304984920675
111,2,20,24.75751553908134,84.38181968581425,store111@aurangabad.com,9664359094,2024-10-18 09:00:00,2024-10-18 21:00:00,[],404.4327284672963
112,2,20,24.739426405036852,84.38617964460299,store112@aurangabad.com,9160920742,2024-10-18 09:00:00,2024-10-18 21:00:00,[],238.96895181727112
113,2,20,24.745283659174806,84.40669286084072,store113@aurangabad.com,9983435962,2024-10-18 09:00:00,2024-10-18 21:00:00,[],254.50224661797316
