city_id,name,center_latitude,center_longitude,radius,district,state,country,population,list_of_companies,list_of_operators
1,Abohar,30.144533,74.19552,13.316146009136476,Abohar,Punjab,India,1492932,[],"[2, 3, 4, 7, 9, 10]"
2,Adilabad,19.4,78.31,12.927358165934278,Adilabad,Telangana,India,7883795,[],"[1, 2, 5, 6, 7, 8, 10]"
3,Agartala,23.836049,91.279386,11.956235495454111,Agartala,Tripura,India,12572326,[],"[1, 6]"
4,Agra,27.187935,78.003944,17.841738656945694,Agra,Uttar Pradesh,India,3467061,[],"[3, 4, 5, 7, 8, 10]"
5,Ahmadnagar,19.094571,74.738432,28.94192189364437,Ahmadnagar,Maharashtra,India,2064340,[],"[3, 8]"
6,Ahmedabad,23.025793,72.587265,26.902451316319762,Ahmedabad,Gujarat,India,5065073,[],"[2, 4, 5, 9, 10]"
7,Aizawl  ,23.736701,92.714596,29.678664243307892,Aizawl  ,Mizoram,India,2214184,[],"[4, 9]"
8,Ajmer,26.452103,74.638667,13.159272667327787,Ajmer,Rajasthan,India,8842422,[],"[1, 5, 6]"
9,Akola,20.709569,76.998103,11.767673344403114,Akola,Maharashtra,India,3961913,[],"[4, 5, 6, 8]"
10,Alappuzha,9.494647,76.331108,14.144196964996054,Alappuzha,Kerala,India,6415594,[],"[1, 2, 3, 9]"
11,Aligarh,27.881453,78.07464,28.103976607119176,Aligarh,Uttar Pradesh,India,9780075,[],"[1, 7, 8, 10]"
12,Alipurduar,26.4835,89.522855,14.728682934478448,Alipurduar,West Bengal,India,7990420,[],"[8, 9]"
13,Allahabad,25.44478,81.843217,17.105075680556247,Allahabad,Uttar Pradesh,India,10588172,[],"[2, 6, 7]"
14,Alwar,27.566291,76.610202,26.854069468785262,Alwar,Rajasthan,India,8265459,[],"[1, 7]"
15,Ambala,30.360993,76.797819,27.71326316235659,Ambala,Haryana,India,1644551,[],"[1, 4, 6, 8]"
16,Amaravati,20.933272,77.75152,13.114608961705002,Amaravati,Maharashtra,India,7777077,[],"[1, 2, 4, 6, 10]"
17,Amritsar,31.622337,74.875335,14.096652481642343,Amritsar,Punjab,India,3677567,[],"[1, 3, 4, 5, 9]"
18,Asansol,23.683333,86.983333,12.217229873846422,Asansol,West Bengal,India,4903497,[],"[2, 3, 5, 7, 9, 10]"
19,Aurangabad,19.880943,75.346739,15.625434422936333,Aurangabad,Maharashtra,India,6253301,[],"[4, 5, 8, 9, 10]"
20,Aurangabad,24.752037,84.374202,28.327150477603702,Aurangabad,Bihar,India,10079654,[],"[3, 7]"
21,Bakshpur,25.894283,80.792104,16.305302840316585,Bakshpur,Uttar Pradesh,India,3292063,[],"[6, 9, 10]"
22,Bamanpuri,28.804495,79.040305,23.560192921632268,Bamanpuri,Uttar Pradesh,India,10547310,[],"[2, 3, 7, 8, 10]"
23,Baramula,34.209004,74.342853,16.89938741278676,Baramula,Jammu and Kashmir,India,5228487,[],"[2, 4, 5, 6]"
24,Barddhaman,23.255716,87.856906,21.48325000375036,Barddhaman,West Bengal,India,9602431,[],"[1, 3, 6, 8]"
25,Bareilly,28.347023,79.421934,23.985390920309552,Bareilly,Uttar Pradesh,India,4932027,[],"[2, 3, 5, 7, 9]"
